epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
23,143,,,,,,124220.65625,243.47958374023438
23,143,,,144239.03125,257.5138854980469,,,
24,144,,,,,232.3639373779297,,
24,149,,,,,288.8860168457031,,
24,149,,,,,,138988.46875,277.3294372558594
24,149,,,114330.0,228.6148223876953,,,
25,154,,,,,242.28977966308594,,
25,155,,,,,,116524.9296875,245.74072265625
25,155,,,151455.296875,274.6026916503906,,,
26,159,,,,,270.90216064453125,,
26,161,,,,,,175092.40625,280.7714538574219
26,161,,,129975.3828125,237.2599334716797,,,
27,164,,,,,282.93548583984375,,
27,167,,,,,,117173.7265625,238.97438049316406
27,167,,,134070.234375,250.6493682861328,,,
28,169,,,,,218.85943603515625,,
28,173,,,,,,130467.5234375,246.65020751953125
28,173,,,122593.7265625,237.789794921875,,,
29,174,,,,,254.69772338867188,,
29,179,,,,,214.10934448242188,,
29,179,,,,,,113646.90625,240.0009765625
29,179,,,115364.1796875,221.92306518554688,,,
30,184,,,,,172.557373046875,,
30,185,,,,,,182768.390625,291.8428649902344
30,185,,,125111.28125,241.0946502685547,,,
31,189,,,,,287.4001159667969,,
31,191,,,,,,126655.9921875,244.11514282226562
31,191,,,144082.828125,262.94647216796875,,,
32,194,,,,,199.63961791992188,,
32,197,,,,,,113438.90625,243.42054748535156
32,197,,,117100.171875,243.18743896484375,,,
33,199,,,,,257.54541015625,,
33,203,,,,,,131292.15625,246.5548858642578
33,203,,,136888.25,250.40615844726562,,,
34,204,,,,,238.99884033203125,,
34,209,,,,,291.1354675292969,,
34,209,,,,,,112052.25,244.9984893798828
34,209,,,120804.8828125,235.84292602539062,,,
35,214,,,,,200.06015014648438,,
35,215,,,,,,117180.8515625,239.91082763671875
35,215,,,121700.1015625,227.8465576171875,,,
36,219,,,,,297.557861328125,,
36,221,,,,,,117986.2578125,238.38729858398438
36,221,,,128206.6953125,241.4443359375,,,
37,224,,,,,158.27545166015625,,
37,227,,,,,,142128.953125,285.5205383300781
37,227,,,123523.28125,236.1764678955078,,,
38,229,,,,,174.66696166992188,,
38,233,,,,,,111329.1796875,235.48789978027344
38,233,,,120663.0546875,240.29066467285156,,,
39,234,,,,,238.30789184570312,,
39,239,,,,,237.66624450683594,,
39,239,,,,,,114121.6171875,235.92294311523438
39,239,,,113640.9140625,229.49395751953125,,,
40,244,,,,,219.148193359375,,
40,245,,,,,,111035.28125,239.36541748046875
40,245,,,119583.5234375,232.75250244140625,,,
41,249,,,,,258.0563659667969,,
41,251,,,,,,107508.6796875,227.03709411621094
41,251,,,115666.3203125,245.33038330078125,,,
42,254,,,,,202.3999481201172,,
42,257,,,,,,102457.953125,227.0154266357422
42,257,,,108193.9296875,216.0580596923828,,,
43,259,,,,,150.87100219726562,,
43,263,,,,,,122195.7265625,233.329833984375
43,263,,,99934.0546875,221.35565185546875,,,
44,264,,,,,184.89596557617188,,
44,269,,,,,159.30340576171875,,
44,269,,,,,,106292.34375,228.0137176513672
44,269,,,120878.8125,235.31509399414062,,,
45,274,,,,,223.60302734375,,
45,275,,,,,,118092.1796875,233.3936004638672
45,275,,,112968.3046875,227.50173950195312,,,
46,279,,,,,263.2725524902344,,
